ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"104.251.93.12","elite","AS20454","US","Secured Servers LLC","142","BraveWay","36044","socks4","57","1","2023-02-24T17:08:30.754Z","100","1037","1038"
"139.162.102.215","elite","AS63949","JP","Akamai Technologies, Inc.","255","Linode, LLC","38118","http","47","244","2023-02-24T17:08:29.802Z","100","1057","1059"
"182.160.115.234","elite","AS24323","BD","Aamra Networks Limited","184","N/A","5678","socks4","68","1","2023-02-24T17:08:29.661Z","97","1082","1121"
"148.251.84.230","elite","AS24940","DE","Hetzner Online GmbH","16","Hetzner","60001","socks4","50","2","2023-02-24T17:08:29.833Z","100","1080","1080"
"117.214.152.204","elite","AS9829","IN","BSNL Internet","247","N/A","5678","socks4","83","1","2023-02-24T17:08:29.378Z","20","220","1089"
"178.212.65.61","elite","AS47939","UA","TDV \"Teleradio company \"Yalta\"","105","Yaltatvnet","3629","socks4","76","1","2023-02-24T17:08:29.082Z","99","1109","1115"
"103.87.86.146","elite","AS4787","ID","PT Cyberindo Aditama","185","CBN","4153","socks4","97","1","2023-02-24T17:08:29.379Z","100","1114","1119"
"51.68.94.167","elite","AS16276","FR","OVH SAS","7","OVH","47159","socks4","65","1","2023-02-24T17:08:29.024Z","100","1053","1053"
"103.82.20.182","elite","AS135905","VN","INETACADEMY","248","Inet academy joint stock company","55445","socks5","54","1","2023-02-24T17:08:29.544Z","86","932","1086"
"37.186.5.16","elite","AS8540","AT","AMA netwoRX GmbH","33","KELAG-Karntner Elektrizitats - Aktiengesellschaft","5678","socks4","51","1","2023-02-24T17:08:28.399Z","100","1116","1121"
"36.75.16.40","elite","AS7713","ID","PT. TELKOM INDONESIA","188","N/A","4153","socks5","99","1","2023-02-24T17:08:28.484Z","91","947","1046"
"105.213.126.22","elite","AS16637","ZA","MTN SA","181","MTN SA","5678","socks4","78","1","2023-02-24T17:08:28.716Z","98","1032","1058"
"98.175.31.195","elite","AS22773","US","Cox Communications Inc.","152","Cox Communications Inc","4145","socks5","61","1","2023-02-24T17:08:28.362Z","88","881","1005"
"119.42.110.113","elite","AS131090","TH","CAT-BB","201","N/A","4145","socks4","63","1","2023-02-24T17:08:28.522Z","87","927","1068"
"45.70.206.40","elite","AS267586","BR","Rafael Pierre Barbosa - Me","175","Rafael Pierre Barbosa - Me","4145","socks4","53","1","2023-02-24T17:08:28.718Z","100","1103","1104"
"164.90.160.201","elite","AS14061","DE","DigitalOcean, LLC","24","DigitalOcean, LLC","3128","socks4","58","1","2023-02-24T17:08:27.951Z","100","1022","1022"
"125.25.43.217","elite","AS23969","TH","TOT Public Company Limited","150","TOT Public Company Limited","4145","socks4","47","1","2023-02-24T17:08:27.633Z","59","648","1103"
"66.29.129.52","elite","AS22612","US","Namecheap, Inc.","137","Namecheap, Inc.","14924","socks4","78","1","2023-02-24T17:08:27.034Z","100","1100","1103"
"102.66.234.83","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","247","Herotel","5678","socks4","56","1","2023-02-24T17:08:27.914Z","55","609","1110"
"167.99.50.159","elite","AS14061","US","DigitalOcean, LLC","84","Digital Ocean","45788","socks5","53","1","2023-02-24T17:08:27.218Z","91","1015","1119"
"85.132.8.108","elite","AS201167","AZ","Delta","92","N/A","4153","socks4","69","1","2023-02-24T17:08:27.167Z","99","1113","1120"
"117.54.236.1","elite","AS9340","ID","PT IndoInternet","168","N/A","443","socks4","61","1","2023-02-24T17:08:27.714Z","100","1080","1083"
"125.141.133.48","elite","AS4766","KR","Korea Telecom","245","Korea Telecom","5566","socks4","55","1","2023-02-24T17:08:26.753Z","77","859","1120"
"183.89.41.115","elite","AS45629","TH","Triple T Broadband Public Company Limited","177","Triple T Broadband Public Company Limited","5678","socks4","68","1","2023-02-24T17:08:26.234Z","99","1055","1068"
"88.119.204.62","elite","AS8764","LT","Telia Lietuva, AB","42","Telia Lietuva, AB","4153","socks4","53","1","2023-02-24T17:08:26.676Z","100","1114","1115"
"81.163.36.210","elite","AS57227","RU","SUBNET05","91","LLC","42967","socks4","57","1","2023-02-24T17:08:26.877Z","97","1088","1120"
"185.83.252.11","elite","AS200899","MK","INTERSPACE S1","40","N/A","59311","socks4","57","1","2023-02-24T17:08:26.118Z","100","1120","1122"
"197.232.253.210","elite","AS36866","KE","Jamii Telecommunications Limited","189","FAIBA","5678","socks4","92","1","2023-02-24T17:08:26.602Z","97","1010","1038"
"180.178.188.126","elite","AS136969","PK","KK Networks (Pvt.) Limited","162","SHARP TELECOM (PRIVATE) LIMITED","8080","http","86","327","2023-02-24T17:08:26.400Z","97","972","1002"
"187.252.154.90","elite","AS28545","MX","Cablemas Telecomunicaciones SA de CV","171","Cablemas Telecomunicaciones SA de CV","4153","socks4","65","1","2023-02-24T17:08:26.283Z","98","1102","1119"
"84.204.40.154","anonymous","AS20632","RU","PJSC MegaFon","47","JSC PeterStar","8080","http","85","3074","2023-02-24T17:08:26.751Z","100","1115","1119"
"43.132.158.215","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","246","Tencent Cloud Computing","1080","socks5","77","1","2023-02-24T17:08:25.180Z","100","1114","1119"
